Start Date,End Date,Campaign Name,Ad Set Name,Ad Name,Placement,Impressions,Clicks,Amount Spent (USD),Page Likes,Website Actions (All),Video Views,Mobile App Installs
2015-04-20,2015-04-20,Campaign1,Ad set1,Lead_01,News Feed on Mobile Devices,51,1,0.12,0,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set1,Lead_01,News Feed on Desktop Computers,25,1,0.07,0,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set1,Lead_01,News Feed on Desktop Computers,87,2,0.2,1,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set1,Lead_01,News Feed on Mobile Devices,109,6,0.35,0,0,0,0
2015-04-18,2015-04-18,Campaign1,Ad set1,Lead_01,News Feed on Mobile Devices,323,8,1,0,0,0,0
2015-04-18,2015-04-18,Campaign1,Ad set1,Lead_01,News Feed on Desktop Computers,600,9,1.86,0,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set1,Lead_01,News Feed on Mobile Devices,249,13,0.84,0,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set1,Lead_01,News Feed on Desktop Computers,189,2,0.53,0,0,0,0
2015-04-23,2015-04-23,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,2224,43,6.72,1,0,0,0
2015-04-23,2015-04-23,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,1688,10,6.01,1,0,0,0
2015-04-22,2015-04-22,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,5242,30,17.07,3,1,0,0
2015-04-22,2015-04-22,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,4107,53,12.76,0,0,0,0
2015-04-21,2015-04-21,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,7207,49,19.42,6,1,0,0
2015-04-21,2015-04-21,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,11509,138,30.58,1,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,1162,41,2.51,0,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,172,3,0.46,0,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,2411,64,5.96,1,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,377,4,0.82,1,0,0,0
2015-04-18,2015-04-18,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,709,14,2.15,1,0,0,0
2015-04-18,2015-04-18,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,10186,188,24.99,3,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set1,Lead_02,News Feed on Mobile Devices,6397,118,18.22,3,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set1,Lead_02,News Feed on Desktop Computers,307,1,0.9,0,0,0,0
2015-04-23,2015-04-23,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,9688,305,27.6,9,7,0,0
2015-04-23,2015-04-23,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,14099,322,38.37,16,10,0,0
2015-04-22,2015-04-22,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,14953,345,37.81,16,4,0,0
2015-04-22,2015-04-22,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,2202,109,6.27,1,0,0,0
2015-04-21,2015-04-21,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,4274,102,9.56,3,2,0,0
2015-04-21,2015-04-21,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,2522,114,6.97,0,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,3978,95,8.54,4,4,0,0
2015-04-20,2015-04-20,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,1148,58,2.97,1,4,0,0
2015-04-19,2015-04-19,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,3789,88,7.58,1,2,0,0
2015-04-19,2015-04-19,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,1395,68,3.93,1,1,0,0
2015-04-18,2015-04-18,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,3379,77,7.83,6,8,0,0
2015-04-18,2015-04-18,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,1342,56,3.68,1,1,0,0
2015-04-17,2015-04-17,Campaign1,Ad set2,Lead_01,News Feed on Mobile Devices,1291,71,4.2,0,3,0,0
2015-04-17,2015-04-17,Campaign1,Ad set2,Lead_01,News Feed on Desktop Computers,2765,64,7.31,1,2,0,0
2015-04-23,2015-04-23,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,10946,191,45.56,2,2,0,0
2015-04-23,2015-04-23,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,2797,25,10.06,0,0,0,0
2015-04-22,2015-04-22,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,18668,319,69.13,3,8,0,0
2015-04-22,2015-04-22,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,3217,17,10.87,1,1,0,0
2015-04-21,2015-04-21,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,988,7,3.36,0,0,0,0
2015-04-21,2015-04-21,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,16438,344,60.64,1,4,0,0
2015-04-20,2015-04-20,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,895,13,2.8,0,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,10284,209,35.37,1,2,0,0
2015-04-19,2015-04-19,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,601,3,1.65,0,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,9365,226,36.52,1,4,0,0
2015-04-18,2015-04-18,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,8277,229,34.9,0,4,0,0
2015-04-18,2015-04-18,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,1016,7,3.27,0,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set3,Lead_01,News Feed on Desktop Computers,1773,15,6.11,0,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set3,Lead_01,News Feed on Mobile Devices,7813,178,32.06,5,1,0,0
2015-04-23,2015-04-23,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,1655,8,5.26,0,0,0,0
2015-04-23,2015-04-23,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,6489,89,15.61,1,2,0,0
2015-04-22,2015-04-22,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,972,5,3.25,0,0,0,0
2015-04-22,2015-04-22,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,4062,64,9.35,1,1,0,0
2015-04-21,2015-04-21,Campaign1,Ad set4,Lead_01,News Feed on Desktop Computers,1525,4,4.05,0,0,0,0
2015-04-21,2015-04-21,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,6376,86,14.69,3,5,0,0
2015-04-20,2015-04-20,Campaign1,Ad set4,Lead_01,News Feed on Mobile Devices,5891,70,12.17,0,1,0,0
